WEATHER_TIME,CITY_ID,CITY_NAME,COUNTRY,CITY_LATITUDE,CITY_LONGITUDE,CLOUDS,HUMIDITY,MIN_TEMP,MAX_TEMP,WEATHER,WEATHER_DESC,WIND_DEG,WIND_SPEED
2017-07-27T17:06:53.000Z,5128581,New York,US,40.714272,40.714272,90,73,297.15,299.15,Clouds,overcast clouds,207.002,3.31
2017-08-12T16:02:43.000Z,5128581,New York,US,40.714272,40.714272,90,78,295.15,296.15,Clouds,overcast clouds,230,2.1
2017-08-12T17:03:23.000Z,5128581,New York,US,40.714272,40.714272,90,78,295.15,296.15,Clouds,overcast clouds,200,1.5
2017-08-12T12:02:37.000Z,5128581,New York,US,40.714272,40.714272,75,88,291.15,293.15,Mist,mist,154.003,1.43
2017-08-12T14:02:51.000Z,5128581,New York,US,40.714272,40.714272,75,83,293.15,294.15,Clouds,broken clouds,185.005,1.81
2017-08-22T06:02:30.000Z,5128581,New York,US,40.714272,40.714272,1,83,294.15,299.15,Mist,mist,225.503,2.66
2017-08-22T07:06:56.000Z,5128581,New York,US,40.714272,40.714272,1,88,294.15,297.15,Mist,mist,225.503,2.66
2017-08-22T00:06:43.000Z,5128581,New York,US,40.714272,40.714272,1,58,299.15,301.15,Clear,sky is clear,220,1.5
2017-08-22T01:02:27.000Z,5128581,New York,US,40.714272,40.714272,1,65,297.15,301.15,Clear,sky is clear,250,1.5
2017-08-31T03:07:00.000Z,5128581,New York,US,40.714272,40.714272,1,64,287.15,296.15,Clear,sky is clear,240.505,3.92
2017-08-31T04:02:30.000Z,5128581,New York,US,40.714272,40.714272,1,68,287.15,296.15,Mist,mist,250,1.5
2017-09-09T12:03:14.000Z,5128581,New York,US,40.714272,40.714272,1,76,284.15,289.15,Clear,sky is clear,0,1.5
2017-09-09T14:02:32.000Z,5128581,New York,US,40.714272,40.714272,1,59,288.15,291.15,Clear,sky is clear,356.5,3.26
2017-09-05T19:02:33.000Z,5128581,New York,US,40.714272,40.714272,1,54,300.15,304.15,Clear,sky is clear,0,2.1
2017-09-05T20:07:16.000Z,5128581,New York,US,40.714272,40.714272,20,62,299.15,304.15,Clouds,few clouds,170,2.1
2017-09-15T19:06:53.000Z,5128581,New York,US,40.714272,40.714272,90,61,299.15,300.15,Clouds,overcast clouds,0,2.6
2017-09-15T20:02:28.000Z,5128581,New York,US,40.714272,40.714272,20,54,299.15,300.15,Clouds,few clouds,240,1.5
2017-09-15T17:06:18.000Z,5128581,New York,US,40.714272,40.714272,40,64,297.15,300.15,Clouds,scattered clouds,178.002,2.43
2017-09-15T18:03:33.000Z,5128581,New York,US,40.714272,40.714272,75,57,299.15,300.15,Clouds,broken clouds,280,2.1
2017-09-25T01:06:15.000Z,5128581,New York,US,40.714272,40.714272,1,57,294.15,299.15,Clear,sky is clear,170,1.5
2017-09-25T02:02:55.000Z,5128581,New York,US,40.714272,40.714272,1,57,293.15,299.15,Clear,sky is clear,155.501,1.31
2017-10-07T07:05:48.000Z,5128581,New York,US,40.714272,40.714272,1,88,288.15,294.15,Mist,mist,70,1.5
2017-10-07T08:02:51.000Z,5128581,New York,US,40.714272,40.714272,75,94,289.15,294.15,Mist,mist,130,2.1
2017-10-06T13:07:18.000Z,5128581,New York,US,40.714272,40.714272,1,77,292.15,295.15,Haze,haze,260,1.5
2017-10-06T14:02:35.000Z,5128581,New York,US,40.714272,40.714272,1,68,293.15,296.15,Clear,sky is clear,0,2.1
2017-10-15T17:02:57.000Z,5128581,New York,US,40.714272,40.714272,90,73,293.15,296.15,Clouds,overcast clouds,240,4.1
2017-10-15T18:06:41.000Z,5128581,New York,US,40.714272,40.714272,90,73,294.15,296.15,Clouds,overcast clouds,202.501,4.37
2017-10-27T14:05:50.000Z,5128581,New York,US,40.714272,40.714272,1,57,281.15,286.15,Clear,sky is clear,270,1.5
